appear	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)	inflection of ilmestyä (kotus type 52/sanoa, no gradation)															
eat	5th1	5th1	Possessive formsPersonsing.plur.1stsyömäisillänisyömäisillämme2ndsyömäisilläsisyömäisillänne3rdsyömäisilläänsyömäisillänsä	Possessive formsPersonsing.plur.1stsyömäisillänisyömäisillämme2ndsyömäisilläsisyömäisillänne3rdsyömäisilläänsyömäisillänsä	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	possessive forms	possessive forms	possessive forms	person	sing.	plur.	1st	syömäisilläni	syömäisillämme	2nd	syömäisilläsi	syömäisillänne	3rd	syömäisilläänsyömäisillänsä	syömäisilläänsyömäisillänsä	
eat	possessive forms	possessive forms	possessive forms	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).	1) Used only with a possessive suffix.2) Usually with a possessive suffix (active only).3) Usually with a possessive suffix. Not used with intransitive verbs. Distinct from nouns with the -ma suffix and third infinitive forms.4) Some uses of the verbal noun are called the 'fourth infinitive' by certain sources (more details).																
eat	person	sing.	plur.																			
eat	1st	syömäisilläni	syömäisillämme																			
eat	2nd	syömäisilläsi	syömäisillänne																			
eat	3rd	syömäisilläänsyömäisillänsä	syömäisilläänsyömäisillänsä																			
fall	inflection of kaatua (kotus type 52*f/sanoa, t-d gradation)	inflection of kaatua (kotus type 52*f/sanoa, t-d gradation)	inflection of kaatua (kotus type 52*f/sanoa, t-d gradation)	inflection of kaatua (kotus type 52*f/sanoa, t-d gradation)	inflection of kaatua (kotus type 52*f/sanoa, t-d gradation)	inflection of kaatua (kotus type 52*f/sanoa, t-d gradation)	inflection of kaatua (kotus type 52*f/sanoa, t-d gradation)															
fall	indicative mood	indicative mood	indicative mood	indicative mood	indicative mood	indicative mood	indicative mood															
fall	present tense	present tense	present tense	present tense	perfect	perfect	perfect															
fall	person	person	positive	negative	person	positive	negative															
fall	1st sing.	1st sing.	kaadun	en kaadu	1st sing.	olen kaatunut	en ole kaatunut															
fall	2nd sing.	2nd sing.	kaadut	et kaadu	2nd sing.	olet kaatunut	et ole kaatunut															
fall	3rd sing.	3rd sing.	kaatuu	ei kaadu	3rd sing.	on kaatunut	ei ole kaatunut															
fall	1st plur.	1st plur.	kaadumme	emme kaadu	1st plur.	olemme kaatuneet	emme ole kaatuneet															
fall	2nd plur.	2nd plur.	kaadutte	ette kaadu	2nd plur.	olette kaatuneet	ette ole kaatuneet															
fall	3rd plur.	3rd plur.	kaatuvat	eivät kaadu	3rd plur.	ovat kaatuneet	eivät ole kaatuneet															
fall	passive	passive	kaadutaan	ei kaaduta	passive	on kaaduttu	ei ole kaaduttu															
fall	past tense	past tense	past tense	past tense	pluperfect	pluperfect	pluperfect															
fall	person	person	positive	negative	person	positive	negative															
fall	1st sing.	1st sing.	kaaduin	en kaatunut	1st sing.	olin kaatunut	en ollut kaatunut															
fall	2nd sing.	2nd sing.	kaaduit	et kaatunut	2nd sing.	olit kaatunut	et ollut kaatunut															
fall	3rd sing.	3rd sing.	kaatui	ei kaatunut	3rd sing.	oli kaatunut	ei ollut kaatunut															
fall	1st plur.	1st plur.	kaaduimme	emme kaatuneet	1st plur.	olimme kaatuneet	emme olleet kaatuneet															
fall	2nd plur.	2nd plur.	kaaduitte	ette kaatuneet	2nd plur.	olitte kaatuneet	ette olleet kaatuneet															
fall	3rd plur.	3rd plur.	kaatuivat	eivät kaatuneet	3rd plur.	olivat kaatuneet	eivät olleet kaatuneet															
fall	passive	passive	kaaduttiin	ei kaaduttu	passive	oli kaaduttu	ei ollut kaaduttu															
fall	conditional mood	conditional mood	conditional mood	conditional mood	conditional mood	conditional mood	conditional mood															
fall	present	present	present	present	perfect	perfect	perfect															
fall	person	person	positive	negative	person	positive	negative															
fall	1st sing.	1st sing.	kaatuisin	en kaatuisi	1st sing.	olisin kaatunut	en olisi kaatunut															
fall	2nd sing.	2nd sing.	kaatuisit	et kaatuisi	2nd sing.	olisit kaatunut	et olisi kaatunut															
fall	3rd sing.	3rd sing.	kaatuisi	ei kaatuisi	3rd sing.	olisi kaatunut	ei olisi kaatunut															
fall	1st plur.	1st plur.	kaatuisimme	emme kaatuisi	1st plur.	olisimme kaatuneet	emme olisi kaatuneet															
fall	2nd plur.	2nd plur.	kaatuisitte	ette kaatuisi	2nd plur.	olisitte kaatuneet	ette olisi kaatuneet															
fall	3rd plur.	3rd plur.	kaatuisivat	eivät kaatuisi	3rd plur.	olisivat kaatuneet	eivät olisi kaatuneet															
fall	passive	passive	kaaduttaisiin	ei kaaduttaisi	passive	olisi kaaduttu	ei olisi kaaduttu															
fall	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood	imperative mood															
fall	present	present	present	present	perfect	perfect	perfect															
fall	person	person	positive	negative	person	positive	negative															
fall	1st sing.	1st sing.	—	—	1st sing.	—	—															
fall	2nd sing.	2nd sing.	kaadu	älä kaadu	2nd sing.	ole kaatunut	älä ole kaatunut															
fall	3rd sing.	3rd sing.	kaatukoon	älköön kaatuko	3rd sing.	olkoon kaatunut	älköön olko kaatunut															
fall	1st plur.	1st plur.	kaatukaamme	älkäämme kaatuko	1st plur.	olkaamme kaatuneet	älkäämme olko kaatuneet															
fall	2nd plur.	2nd plur.	kaatukaa	älkää kaatuko	2nd plur.	olkaa kaatuneet	älkää olko kaatuneet															
fall	3rd plur.	3rd plur.	kaatukoot	älkööt kaatuko	3rd plur.	olkoot kaatuneet	älkööt olko kaatuneet															
fall	passive	passive	kaaduttakoon	älköön kaaduttako	passive	olkoon kaaduttu	älköön olko kaaduttu															
fall	potential mood	potential mood	potential mood	potential mood	potential mood	potential mood	potential mood															
fall	present	present	present	present	perfect	perfect	perfect															
fall	person	person	positive	negative	person	positive	negative															
fall	1st sing.	1st sing.	kaatunen	en kaatune	1st sing.	lienen kaatunut	en liene kaatunut															
fall	2nd sing.	2nd sing.	kaatunet	et kaatune	2nd sing.	lienet kaatunut	et liene kaatunut															
fall	3rd sing.	3rd sing.	kaatunee	ei kaatune	3rd sing.	lienee kaatunut	ei liene kaatunut															
fall	1st plur.	1st plur.	kaatunemme	emme kaatune	1st plur.	lienemme kaatuneet	emme liene kaatuneet															
fall	2nd plur.	2nd plur.	kaatunette	ette kaatune	2nd plur.	lienette kaatuneet	ette liene kaatuneet															
fall	3rd plur.	3rd plur.	kaatunevat	eivät kaatune	3rd plur.	lienevät kaatuneet	eivät liene kaatuneet															
fall	passive	passive	kaaduttaneen	ei kaaduttane	passive	lienee kaaduttu	ei liene kaaduttu															
fall	nominal forms	nominal forms	nominal forms	nominal forms	nominal forms	nominal forms	nominal forms															
fall	infinitives	infinitives	infinitives	infinitives	participles	participles	participles															
fall			active	passive		active	passive															
fall	1st	1st	kaatua	kaatua	present	kaatuva	kaaduttava															
fall	long 1st1	long 1st1	Possessive formsPersonsing.plur.1stkaatuaksenikaatuaksemme2ndkaatuaksesikaatuaksenne3rdkaatuakseenkaatuaksensa	Possessive formsPersonsing.plur.1stkaatuaksenikaatuaksemme2ndkaatuaksesikaatuaksenne3rdkaatuakseenkaatuaksensa	possessive forms	possessive forms	possessive forms	person	sing.	plur.	1st	kaatuakseni	kaatuaksemme	2nd	kaatuaksesi	kaatuaksenne	3rd	kaatuakseenkaatuaksensa	kaatuakseenkaatuaksensa	past	kaatunut	kaaduttu
fall	possessive forms	possessive forms	possessive forms																			
fall	person	sing.	plur.																			
fall	1st	kaatuakseni	kaatuaksemme																			
fall	2nd	kaatuaksesi	kaatuaksenne																			
fall	3rd	kaatuakseenkaatuaksensa	kaatuakseenkaatuaksensa																			
